=== ITEMS (id | name | current_image) ===
717 | STEAMED MOMOS (5 PC NORMAL STEAMED MOMOS) | NULL
718 | VEG MOMOS | NULL
719 | MALAI MOMOS | NULL
720 | SCHEZWAN MOMOS | NULL
721 | THANDURI CHICKEN PIZZA | NULL
722 | CRISPY CHICKEN PIZZA | NULL
723 | THANDOORI PANEER PIZZA | NULL
724 | BARBQ PIZZA | NULL
725 | NEPOLITAN PIZZA | NULL
726 | MARGERITA | NULL
727 | PANEER PIZA | NULL
728 | MIXED VEG PIZZA | NULL
729 | CHICKEN TIKA PIZZA | NULL
730 | MEXICAN PIZZA | NULL
731 | CHIKKU SCOOP | NULL
732 | MANGO SCOOP | NULL
733 | JACK FRUIT SCOOP | NULL
734 | SPANISH DELIGHT SCOOP | NULL
735 | CHOCOLATE SCOOP | NULL
736 | BUTTERSCOTCH SCOOP | NULL
737 | PISTA SCOOP | NULL
738 | STRAWBERRY SCOOP | NULL
739 | VANILLA SCOOP | NULL
740 | BLUEBERRY | NULL
741 | FRUIT BONANZA | NULL
742 | RAJ BHOG | NULL
743 | RED VELVET | NULL
744 | TENDER | NULL
746 | SITHAPHAL SHAKE | NULL
747 | CHIKKU SHAKE | NULL
748 | BADAM SHAKE | NULL
749 | SHAMAM SHAKE | NULL
750 | TENDER SHAKE ( WITH ONE SCOOP CAMARY TENDER ICE CREAM) | NULL
751 | MANGO SHAKE ( WITH ONE CAMERY MANGO SCOOP) | NULL
752 | JACKFRUIT SHAKE | NULL
754 | ABOOD SHAKE | NULL
755 | PAPPAYA SHAKE | NULL
756 | OREO SHAKE | NULL
757 | STRAWBERRY SHAKE | NULL
758 | PISTA SHAKE | NULL
759 | SPANISH SHAKE | NULL
760 | BUTTERSCOTCH SHAKE | NULL
761 | JAMUN SHAKE | NULL
762 | BUBBLE TEA | NULL
763 | CHICKEN SHAWARMA ROLL | NULL
764 | CHICKEN SHAWARMA PLATE | NULL
765 | CHICKEN SHAWARMA ROLL-FULL MEET | NULL
766 | CHICKEN SHAWARMA PLATE-FULL MEET | NULL
767 | PEPSI 250ML | NULL
768 | STING 250ML | NULL
769 | 7UP | NULL
770 | MIRINDA | NULL
771 | SLICE 600ML | NULL
772 | MOUNTAIN DEW 750ML | NULL
773 | FRENCH FRIES (S/F) | NULL
774 | CHICKEN NUGGETS | NULL
775 | POPCORN | NULL
776 | HOT & SOUR SOUP | NULL
777 | HYDERABADI KADAK | NULL
778 | BOMBAY CHAI | NULL
779 | CINNOMON TEA | NULL
780 | NORMAL | NULL
781 | MASALA CHAI | NULL
782 | CARDAMOM TEA | NULL
783 | GINGER TEA | NULL
784 | BOOST | NULL
785 | HORLICKS | NULL
787 | MITTY CHAI | NULL
788 | BRU COFFEE | NULL
790 | TULASI TEA | NULL
791 | SAFFRON TEA | NULL
792 | VEG SANDWICH | NULL
793 | CLUB SANDWICH | NULL
794 | MEGA CLUB SANDWICH | NULL
795 | REDVELVET PASTRY | NULL
796 | BLACK FOREST PASTRY | NULL
797 | VANCHO PASTRY | NULL
798 | CHOCO RED PASTRY | NULL
799 | SHAHI THUKDA | NULL
800 | PUTT ICECREAME | NULL
801 | BROWNIE WITH ICECREAME | NULL
802 | CHICKEN RUMALI ROLL | NULL
803 | SHAWARMA FULL MEAT ROLL | NULL
804 | RUMALI PLATE SHAWARMA | NULL
805 | SHAWARMA FULL MEAT PLATE | NULL
806 | VEG CLUB SANDWICH | NULL
807 | CHAPATI | NULL
808 | SP MEALS | NULL
809 | GHEE RICE | NULL
810 | CHICKEN FRIED RICE | NULL
811 | EGG FRIED RICE | NULL
812 | VEG FRIED RICE | NULL
813 | KADAI CHICKEN | NULL
814 | GREEN PEAS MASALA | NULL
815 | CHICKEN KONDATTAM | NULL
816 | CHILLY BEEF | NULL
817 | FISH BIRIYANI | NULL
818 | FISH MASALA | NULL
819 | GARLIC CHICKEN | NULL
820 | GREEN SALAD | NULL
821 | MASHROOM CHILLY | NULL
822 | MASHROOM FRIED RICE | NULL
823 | MASHROOM FRY | NULL
824 | MASHROOM PEPPER | NULL
825 | MIXED FRIED RICE | NULL
826 | PANEER FRIED RICE | NULL
827 | PANEER MANJURIAN | NULL
